variable,treatment,n.trt,inoc,response,SE,df,lower.CL,upper.CL,.group
ncost,70_ni,70,ni,8.230814824,1.576122114,26.87612683,5.556088732,12.19316608,a
ncost,70_yi,70,yi,2.774302386,0.46419687,23.64177355,1.963621085,3.919673601,b
ncost,630_ni,630,ni,2.525192393,0.514891986,25.02251047,1.659294002,3.842957676,b
ncost,630_yi,630,yi,1.813197189,0.314775983,25.79406201,1.268845527,2.591082978,b
bgc,70_yi,70,yi,0.274858345,0.050509459,23.64177355,0.188044441,0.401751358,a
bgc,630_yi,630,yi,0.316034838,0.060256914,25.79406201,0.213530938,0.467744954,a
bgc,630_ni,630,ni,0.43420249,0.097236506,25.02251047,0.273776826,0.688633164,a
bgc,70_ni,70,ni,0.456582032,0.096024316,26.87612683,0.296531175,0.703019343,a
wpn,70_ni,70,ni,0.057103614,0.005825475,25.40783095,0.045115581,0.069091647,a
wpn,70_yi,70,yi,0.10019159,0.00509986,21.88580634,0.089611928,0.110771251,b
wpn,630_ni,630,ni,0.172538165,0.006209852,23.93988848,0.159719957,0.185356373,c
wpn,630_yi,630,yi,0.175938141,0.005285585,23.97617694,0.165028656,0.186847626,c
total.leaf.area,70_ni,70,ni,497.9213636,39.40547393,30.911705,417.5440644,578.2986629,a
total.leaf.area,70_yi,70,yi,829.214625,32.09972179,23.87173954,762.9452134,895.4840366,b
total.leaf.area,630_ni,630,ni,1195.4211,42.03539885,28.88305234,1109.433933,1281.408267,c
total.leaf.area,630_yi,630,yi,1222.200625,32.09972179,23.87173954,1155.931213,1288.470037,c
total.biomass,70_ni,70,ni,1.165092104,0.076025461,28.40855431,1.009461842,1.320722365,a
total.biomass,70_yi,70,yi,1.290246137,0.064094383,23.23685966,1.157731548,1.422760725,a
total.biomass,630_yi,630,yi,1.665162136,0.066418735,25.04390228,1.528382348,1.801941925,b
total.biomass,630_ni,630,ni,1.668773582,0.080988064,26.48201238,1.502447581,1.835099584,b
nodroot,NA,70,NA,0.038020357,0.008845618,4.671642594,0.014792751,0.061247962,a
nodroot,NA,630,NA,0.020185157,0.008983381,4.949120597,-0.002978947,0.04334926,b
nod,NA,70,NA,0.033668889,0.007513468,4.93405458,0.014277004,0.053060773,a
nod,NA,630,NA,0.015655555,0.007513468,4.93405458,-0.003736329,0.03504744,b
root,70_yi,70,yi,0.635871637,0.117392877,23.23685966,0.434111805,0.931402312,a
root,630_yi,630,yi,0.70743738,0.135341482,25.04390228,0.477072776,1.049038368,a
root,630_ni,630,ni,0.966733298,0.22551738,26.48201238,0.59874618,1.560883895,a
root,70_ni,70,ni,1.037264271,0.227143758,28.40855431,0.662529515,1.623953565,a
bvr,70_ni,70,ni,0.534369696,0.040625703,28.40855431,0.457353974,0.624354412,a
bvr,70_yi,70,yi,0.605613471,0.038816422,23.23685966,0.530450878,0.691426279,a
bvr,630_yi,630,yi,0.881088387,0.058520776,25.04390228,0.768452044,1.010234473,b
bvr,630_ni,630,ni,0.884276142,0.071615813,26.48201238,0.748778634,1.044293014,b